timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
07/01/2000 23:49:45,0.0,0.0,0.001272187
07/01/2000 23:50:00,0.0,0.0,0.0012782689999999998
07/01/2000 23:50:15,0.0,0.0,0.00125919
07/01/2000 23:50:30,0.0,0.0,0.001922356
07/01/2000 23:50:45,0.0,0.0,0.0013147170000000002
07/01/2000 23:51:00,0.0,0.0,0.001326348
07/01/2000 23:51:15,0.0,0.0,0.001299325
07/01/2000 23:51:30,0.0,0.0,0.001333856
07/01/2000 23:51:45,0.0,0.0,0.001888341
07/01/2000 23:52:00,0.0,0.0,0.001250218
07/01/2000 23:52:15,0.0,0.0,0.001242228
07/01/2000 23:52:30,0.0,0.0,0.002003395
07/01/2000 23:52:45,0.0,0.0,0.001420065
07/01/2000 23:53:00,0.0,0.0,0.0013948379999999998
07/01/2000 23:53:15,0.0,0.0,0.0013561170000000002
07/01/2000 23:53:30,0.0,0.0,0.001271634
07/01/2000 23:53:45,0.0,0.0,0.00136609
07/01/2000 23:54:00,0.0,0.0,0.001333314
07/01/2000 23:54:15,0.0,0.0,0.001262171
07/01/2000 23:54:30,0.0,0.0,0.001338151
07/01/2000 23:54:45,0.0,0.0,0.001379139
07/01/2000 23:55:00,0.0,0.0,0.0015110529999999998
07/01/2000 23:55:15,0.0,0.0,0.001301148
07/01/2000 23:55:30,0.0,0.0,0.0012702660000000001
07/01/2000 23:55:45,0.0,0.0,0.001642205
07/01/2000 23:56:00,0.0,0.0,0.001248372
07/01/2000 23:56:15,0.0,0.0,0.001300462
07/01/2000 23:56:30,0.0,0.0,0.0013104219999999999
07/01/2000 23:56:45,0.0,0.0,0.0012896560000000001
07/01/2000 23:57:00,0.0,0.0,0.001281458
07/01/2000 23:57:15,0.0,0.0,0.001328798
07/01/2000 23:57:30,0.0,0.0,0.001243163
07/01/2000 23:57:45,0.0,0.0,0.001190299
07/01/2000 23:58:00,0.0,0.0,0.0013277579999999998
07/01/2000 23:58:15,0.0,0.0,0.0016065370000000001
07/01/2000 23:58:30,0.0,0.0,0.001421252
07/01/2000 23:58:45,0.0,0.0,0.001313925
07/01/2000 23:59:00,0.0,0.0,0.001275431
07/01/2000 23:59:15,0.0,0.0,0.001378225
07/01/2000 23:59:30,0.0,0.0,0.001348971
07/01/2000 23:59:45,0.0,0.0,0.001420935
08/01/2000 00:00:00,0.0,0.0,0.0014247079999999998
08/01/2000 00:00:15,0.0,0.0,0.00138857
08/01/2000 00:00:30,0.0,0.0,0.001364443
08/01/2000 00:00:45,0.0,0.0,0.001311061
08/01/2000 00:01:00,0.0,0.0,0.001583816
08/01/2000 00:01:15,0.0,0.0,0.001880009
08/01/2000 00:01:30,0.0,0.0,0.001543701
08/01/2000 00:01:45,0.0,0.0,0.001283205
08/01/2000 00:02:00,0.0,0.0,0.001260152
08/01/2000 00:02:15,0.0,0.0,0.0012099510000000001
08/01/2000 00:02:30,0.0,0.0,0.001254427
08/01/2000 00:02:45,0.0,0.0,0.001487706
08/01/2000 00:03:00,0.0,0.0,0.001289151
08/01/2000 00:03:15,0.0,0.0,0.001207091
08/01/2000 00:03:30,0.0,0.0,0.001262495
08/01/2000 00:03:45,0.0,0.0,0.001324901
08/01/2000 00:04:00,0.0,0.0,0.001295364
08/01/2000 00:04:15,0.0,0.0,0.0014526379999999998
08/01/2000 00:04:30,0.0,0.0,0.001262182
08/01/2000 00:04:45,0.0,0.0,0.001312907
08/01/2000 00:05:00,0.0,0.0,0.001310226
08/01/2000 00:05:15,0.0,0.0,0.0013605289999999999
08/01/2000 00:05:30,0.0,0.0,0.002052741
08/01/2000 00:05:45,0.0,0.0,0.0013310610000000001
08/01/2000 00:06:00,0.0,0.0,0.001360594
08/01/2000 00:06:15,0.0,0.0,0.001267385
08/01/2000 00:06:30,0.0,0.0,0.00134894
08/01/2000 00:06:45,0.0,0.0,0.001324619
08/01/2000 00:07:00,0.0,0.0,0.00119253
08/01/2000 00:07:15,0.0,0.0,0.001253041
08/01/2000 00:07:30,0.0,0.0,0.001267879
08/01/2000 00:07:45,0.0,0.0,0.001269943
08/01/2000 00:08:00,0.0,0.0,0.001309715
08/01/2000 00:08:15,0.0,0.0,0.001278951
08/01/2000 00:08:30,0.0,0.0,0.0016264460000000001
08/01/2000 00:08:45,0.0,0.0,0.001356398
08/01/2000 00:09:00,0.0,0.0,0.001272128
08/01/2000 00:09:15,0.0,0.0,0.001342192
08/01/2000 00:09:30,0.0,0.0,0.001211462
08/01/2000 00:09:45,0.0,0.0,0.00120777
08/01/2000 00:10:00,0.0,0.0,0.001265665
08/01/2000 00:10:15,0.0,0.0,0.001246093
08/01/2000 00:10:30,0.0,0.0,0.0016202089999999998
08/01/2000 00:10:45,0.0,0.0,0.001330512
08/01/2000 00:11:00,0.0,0.0,0.001279556
08/01/2000 00:11:15,0.0,0.0,0.00130589
08/01/2000 00:11:30,0.0,0.0,0.001452555
08/01/2000 00:11:45,0.0,0.0,0.0013754000000000001
08/01/2000 00:12:00,0.0,0.0,0.001376841
08/01/2000 00:12:15,0.0,0.0,0.001467803
08/01/2000 00:12:30,0.0,0.0,0.001420746
08/01/2000 00:12:45,0.0,0.0,0.001798053
08/01/2000 00:13:00,0.0,0.0,0.0013870820000000002
08/01/2000 00:13:15,0.0,0.0,0.001393398
08/01/2000 00:13:30,0.0,0.0,0.001346096
